num,category,method_name,description,output_pattern
30,creative,Mélange des Genres,Combiner deux domaines non liés pour trouver de nouvelles approches - innovation par pollinisation croisée inattendue,domaine A + domaine B → insights hybrides
31,research,Personas de Revue de Littérature,Chercheur optimiste + chercheur sceptique + synthétiseur revoient les sources - évaluation équilibrée de la qualité des preuves,sources → critiques → synthèse
32,research,Simulation de Soutenance de Thèse,L'étudiant défend son hypothèse face à un comité avec différentes préoccupations - teste la méthodologie de recherche et les conclusions,thèse → défis → soutenance → raffinements
33,research,Matrice d'Analyse Comparative,Plusieurs analystes évaluent les options selon des critères pondérés - prise de décision structurée avec notation explicite,options → critères → scores → recommandation
34,risk,Analyse Pre-mortem,Imaginer un échec futur puis travailler à l'envers pour le prévenir - technique puissante pour l'atténuation des risques avant les lancements majeurs,scénario d'échec → causes → prévention
35,risk,Analyse des Modes de Défaillance,Explorer systématiquement comment chaque composant pourrait échouer - critique pour l'ingénierie de fiabilité et les systèmes critiques pour la sécurité,composants → défaillances → prévention
36,risk,Défi depuis une Perspective Critique,Jouer l'avocat du diable pour tester les idées et trouver les faiblesses - essentiel pour surmonter la pensée de groupe,hypothèses → défis → renforcement
37,risk,Identifier les Risques Potentiels,Faire un brainstorming sur ce qui pourrait mal tourner dans toutes les catégories - fondamental pour la planification de projet et la préparation au déploiement,catégories → risques → atténuations
38,risk,Scénarios Chaos Monkey,Casser délibérément les choses pour tester la résilience et la récupération - garantit que les systèmes gèrent les pannes avec élégance,casser → observer → renforcer
39,core,Analyse des Premiers Principes,Éliminer les hypothèses pour reconstruire à partir de vérités fondamentales - technique de percée pour l'innovation et la résolution de problèmes impossibles,hypothèses → vérités → nouvelle approche
40,core,Plongée des 5 Pourquoi,Demander pourquoi à plusieurs reprises pour remonter aux causes profondes - simple mais puissant pour comprendre les échecs,chaîne de pourquoi → cause profonde → solution
41,core,Questionnement Socratique,Utiliser des questions ciblées pour révéler des hypothèses cachées et guider la découverte - excellent pour l'enseignement et la découverte de soi,questions → révélations → compréhension
42,core,Critique et Raffinement,Revue systématique pour identifier les forces et faiblesses puis améliorer - contrôle qualité standard pour les brouillons,forces/faiblesses → améliorations → raffiné
43,core,Expliquer le Raisonnement,Détailler la réflexion étape par étape pour montrer comment les conclusions ont été atteintes - crucial pour la transparence,étapes → logique → conclusion
44,core,Développer ou Contracter pour l'Audience,Ajuster dynamiquement le niveau de détail et la profondeur technique pour le public cible - adapte le contenu aux capacités du lecteur,audience → ajustements → contenu raffiné
45,learning,Technique Feynman,Expliquer des concepts complexes simplement comme si on enseignait à un enfant - le test ultime de la véritable compréhension,complexe → simple → lacunes → maîtrise
46,learning,Test de Rappel Actif,Tester la compréhension sans références pour vérifier les véritables connaissances - essentiel pour identifier les lacunes,test → lacunes → renforcement
47,philosophical,Application du Rasoir d'Ockham,Trouver l'explication suffisante la plus simple en éliminant la complexité inutile - essentiel pour le débogage,options → simplification → sélection
48,philosophical,Variations du Problème du Tramway,Explorer les compromis éthiques à travers des dilemmes moraux - précieux pour comprendre les valeurs et les décisions difficiles,dilemme → analyse → décision
49,retrospective,Réflexion Rétrospective,Imaginer regarder en arrière depuis le futur pour prendre du recul - puissant pour les revues de projet,vue future → insights → application
50,retrospective,Extraction des Leçons Apprises,Identifier systématiquement les points clés à retenir et les améliorations actionnables - essentiel pour l'amélioration continue,expérience → leçons → actions
